,enhanced_ml_risk_regime_step_risk_regime,enhanced_ml_risk_regime_step_risk_score
2021-11-02 02:00:00,0,0.59975636
2021-11-02 02:15:00,2,0.21878453
2021-11-02 02:30:00,2,0.54061204
2021-11-02 02:45:00,2,0.6683331
2021-11-02 03:00:00,0,0.59417
2021-11-02 03:15:00,2,0.61978465
2021-11-02 03:30:00,2,0.71062136
2021-11-02 03:45:00,1,0.9956666
2021-11-02 04:00:00,1,0.98768836
2021-11-02 04:15:00,1,0.1158605
2021-11-02 04:30:00,1,0.73634285
2021-11-02 04:45:00,2,0.37872016
2021-11-02 05:00:00,1,0.20353849
2021-11-02 05:15:00,1,0.45935443
2021-11-02 05:30:00,0,0.23530257
2021-11-02 05:45:00,1,0.9609948
2021-11-02 06:00:00,2,0.9409149
2021-11-02 06:15:00,2,0.6756229
2021-11-02 06:30:00,1,0.7094936
2021-11-02 06:45:00,0,0.31094775
2021-11-02 07:00:00,0,0.27990708
2021-11-02 07:15:00,0,0.16628546
2021-11-02 07:30:00,2,0.90847623
2021-11-02 07:45:00,0,0.3885686
2021-11-02 08:00:00,2,0.2559985
2021-11-02 08:15:00,0,0.5550198
2021-11-02 08:30:00,2,0.31531945
2021-11-02 08:45:00,0,0.9779149
2021-11-02 09:00:00,0,0.7451657
2021-11-02 09:15:00,1,0.7070333
2021-11-02 09:30:00,1,0.53167146
2021-11-02 09:45:00,0,0.4087897
2021-11-02 10:00:00,0,0.8592883
2021-11-02 10:15:00,0,0.35864547
2021-11-02 10:30:00,1,0.81432134
2021-11-02 10:45:00,1,0.5412607
2021-11-02 11:00:00,2,0.07908382
2021-11-02 11:15:00,1,0.12221156
2021-11-02 11:30:00,1,0.9583182
2021-11-02 11:45:00,0,0.25052816
2021-11-02 12:00:00,2,0.4409398
2021-11-02 12:15:00,0,0.96738386
2021-11-02 12:30:00,1,0.00186468
2021-11-02 12:45:00,1,0.6579678
2021-11-02 13:00:00,2,0.035020065
2021-11-02 13:15:00,1,0.9098449
2021-11-02 13:30:00,0,0.20085493
2021-11-02 13:45:00,1,0.49512333
2021-11-02 14:00:00,2,0.95013034
2021-11-02 14:15:00,2,0.388225
2021-11-02 14:30:00,0,0.5846511
2021-11-02 14:45:00,0,0.010101558
2021-11-02 15:00:00,2,0.58597505
2021-11-02 15:15:00,1,0.7996815
2021-11-02 15:30:00,2,0.907551
2021-11-02 15:45:00,2,0.6346494
2021-11-02 16:00:00,1,0.98282677
2021-11-02 16:15:00,0,0.49914268
2021-11-02 16:30:00,0,0.28044146
2021-11-02 16:45:00,1,0.44077024
2021-11-02 17:00:00,1,0.738825
2021-11-02 17:15:00,2,0.45743716
2021-11-02 17:30:00,2,0.21871834
2021-11-02 17:45:00,2,0.6475135
2021-11-02 18:00:00,2,0.63912433
2021-11-02 18:15:00,0,0.9825528
2021-11-02 18:30:00,1,0.7535612
2021-11-02 18:45:00,1,0.008989628
2021-11-02 19:00:00,1,0.11716828
2021-11-02 19:15:00,2,0.8280552
2021-11-02 19:30:00,2,0.034382176
2021-11-02 19:45:00,0,0.29933846
2021-11-02 20:00:00,1,0.7730084
2021-11-02 20:15:00,2,0.7412581
2021-11-02 20:30:00,0,0.41496173
2021-11-02 20:45:00,2,0.6812377
2021-11-02 21:00:00,2,0.6780658
2021-11-02 21:15:00,0,0.5628688
2021-11-02 21:30:00,1,0.7872768
2021-11-02 21:45:00,2,0.2775536
2021-11-02 22:00:00,1,0.11442472
2021-11-02 22:15:00,2,0.05836354
2021-11-02 22:30:00,0,0.98438
2021-11-02 22:45:00,2,0.8896699
2021-11-02 23:00:00,2,0.5491553
2021-11-02 23:15:00,1,0.42322063
2021-11-02 23:30:00,2,0.3039926
2021-11-02 23:45:00,0,0.2693916
2021-11-03 00:00:00,2,0.76014185
2021-11-03 00:15:00,2,0.050103914
2021-11-03 00:30:00,1,0.3300097
2021-11-03 00:45:00,2,0.19651759
2021-11-03 01:00:00,2,0.7182977
2021-11-03 01:15:00,1,0.9406237
2021-11-03 01:30:00,0,0.89033175
2021-11-03 01:45:00,0,0.7730471
2021-11-03 02:00:00,0,0.81051856
2021-11-03 02:15:00,0,0.37892824
2021-11-03 02:30:00,1,0.46633902
2021-11-03 02:45:00,1,0.71103215
2021-11-03 03:00:00,0,0.17004414
2021-11-03 03:15:00,2,0.56256545
2021-11-03 03:30:00,1,0.13056631
2021-11-03 03:45:00,1,0.1835074
2021-11-03 04:00:00,0,0.41921362
2021-11-03 04:15:00,1,0.89316744
2021-11-03 04:30:00,2,0.4623648
2021-11-03 04:45:00,2,0.4096591
2021-11-03 05:00:00,2,0.8238866
2021-11-03 05:15:00,0,0.24022968
2021-11-03 05:30:00,0,0.15953699
2021-11-03 05:45:00,1,0.9146215
2021-11-03 06:00:00,0,0.09182703
2021-11-03 06:15:00,0,0.55300486
2021-11-03 06:30:00,1,0.96345574
2021-11-03 06:45:00,0,0.59141994
2021-11-03 07:00:00,2,0.25789323
2021-11-03 07:15:00,1,0.97351575
2021-11-03 07:30:00,1,0.03407129
2021-11-03 07:45:00,2,0.35335517
2021-11-03 08:00:00,0,0.5247701
2021-11-03 08:15:00,0,0.5568158
2021-11-03 08:30:00,2,0.7892516
2021-11-03 08:45:00,0,0.63096875
2021-11-03 09:00:00,1,0.7002587
2021-11-03 09:15:00,0,0.36796898
2021-11-03 09:30:00,1,0.35413462
2021-11-03 09:45:00,0,0.35209346
2021-11-03 10:00:00,1,0.7236365
2021-11-03 10:15:00,2,0.1962122
2021-11-03 10:30:00,2,0.35547817
2021-11-03 10:45:00,1,0.33955213
2021-11-03 11:00:00,1,0.9336217
2021-11-03 11:15:00,1,0.32132766
2021-11-03 11:30:00,0,0.85988986
2021-11-03 11:45:00,0,0.6382102
2021-11-03 12:00:00,2,0.40471864
2021-11-03 12:15:00,1,0.08297399
2021-11-03 12:30:00,0,0.13208307
2021-11-03 12:45:00,2,0.06939013
2021-11-03 13:00:00,0,0.9819683
2021-11-03 13:15:00,1,0.44497573
2021-11-03 13:30:00,0,0.25005114
2021-11-03 13:45:00,0,0.116828166
2021-11-03 14:00:00,0,0.44634563
2021-11-03 14:15:00,0,0.8802284
2021-11-03 14:30:00,0,0.03704907
2021-11-03 14:45:00,2,0.8044813
2021-11-03 15:00:00,0,0.84795713
2021-11-03 15:15:00,1,0.57714885
2021-11-03 15:30:00,2,0.48167932
2021-11-03 15:45:00,0,0.19986106
2021-11-03 16:00:00,1,0.34741858
2021-11-03 16:15:00,2,0.27663386
2021-11-03 16:30:00,2,0.14778084
2021-11-03 16:45:00,1,0.6823885
2021-11-03 17:00:00,2,0.25710595
2021-11-03 17:15:00,2,0.25234774
2021-11-03 17:30:00,1,0.23672621
2021-11-03 17:45:00,1,0.23778892
2021-11-03 18:00:00,2,0.34803027
2021-11-03 18:15:00,2,0.8611825
2021-11-03 18:30:00,1,0.7928729
2021-11-03 18:45:00,1,0.20761003
2021-11-03 19:00:00,1,0.46691906
2021-11-03 19:15:00,2,0.7393326
2021-11-03 19:30:00,2,0.5247997
2021-11-03 19:45:00,2,0.8726823
2021-11-03 20:00:00,2,0.22861682
2021-11-03 20:15:00,2,0.77786046
2021-11-03 20:30:00,2,0.44299385
2021-11-03 20:45:00,2,0.48976472
2021-11-03 21:00:00,1,0.45022494
2021-11-03 21:15:00,1,0.85536075
2021-11-03 21:30:00,0,0.30445868
2021-11-03 21:45:00,2,0.7735072
2021-11-03 22:00:00,1,0.645638
2021-11-03 22:15:00,1,0.9193833
2021-11-03 22:30:00,1,0.56357193
2021-11-03 22:45:00,2,0.22112083
2021-11-03 23:00:00,1,0.19863312
2021-11-03 23:15:00,1,0.3567101
2021-11-03 23:30:00,2,0.12721813
2021-11-03 23:45:00,0,0.34103286
2021-11-04 00:00:00,2,0.75573534
2021-11-04 00:15:00,1,0.6546626
2021-11-04 00:30:00,0,0.1575008
2021-11-04 00:45:00,1,0.541576
2021-11-04 01:00:00,1,0.9802686
2021-11-04 01:15:00,1,0.438578
2021-11-04 01:30:00,1,0.48156592
2021-11-04 01:45:00,2,0.06713739
2021-11-04 02:00:00,0,0.29566193
2021-11-04 02:15:00,1,0.2430858
2021-11-04 02:30:00,2,0.6064063
2021-11-04 02:45:00,2,0.012065557
2021-11-04 03:00:00,2,0.85810417
2021-11-04 03:15:00,2,0.61455595
2021-11-04 03:30:00,0,0.64417404
2021-11-04 03:45:00,2,0.9012889
2021-11-04 04:00:00,0,0.17386667
2021-11-04 04:15:00,0,0.46666837
2021-11-04 04:30:00,1,0.96843994
2021-11-04 04:45:00,2,0.030619144
2021-11-04 05:00:00,0,0.40014207
2021-11-04 05:15:00,1,0.7099415
2021-11-04 05:30:00,1,0.47154745
2021-11-04 05:45:00,0,0.108385526
2021-11-04 06:00:00,0,0.16936839
2021-11-04 06:15:00,2,0.25526994
2021-11-04 06:30:00,1,0.7750739
2021-11-04 06:45:00,0,0.84015083
2021-11-04 07:00:00,1,0.550421
2021-11-04 07:15:00,2,0.9527453
2021-11-04 07:30:00,2,0.65135646
2021-11-04 07:45:00,1,0.664413
2021-11-04 08:00:00,2,0.12965201
2021-11-04 08:15:00,0,0.28567228
2021-11-04 08:30:00,1,0.23751457
2021-11-04 08:45:00,2,0.06336326
2021-11-04 09:00:00,1,0.53072566
2021-11-04 09:15:00,1,0.09517285
2021-11-04 09:30:00,2,0.44023865
2021-11-04 09:45:00,0,0.6641963
2021-11-04 10:00:00,0,0.29109517
2021-11-04 10:15:00,0,0.45484275
2021-11-04 10:30:00,2,0.4744069
2021-11-04 10:45:00,2,0.6349977
2021-11-04 11:00:00,1,0.1366353
2021-11-04 11:15:00,1,0.48700058
2021-11-04 11:30:00,1,0.35556334
2021-11-04 11:45:00,2,0.9925713
2021-11-04 12:00:00,2,0.07083937
2021-11-04 12:15:00,2,0.07619526
2021-11-04 12:30:00,2,0.22155522
2021-11-04 12:45:00,0,0.4771653
2021-11-04 13:00:00,1,0.23795383
2021-11-04 13:15:00,0,0.81345516
2021-11-04 13:30:00,1,0.42922133
2021-11-04 13:45:00,1,0.65154785
2021-11-04 14:00:00,0,0.6119616
2021-11-04 14:15:00,0,0.04130782
2021-11-04 14:30:00,0,0.3050603
2021-11-04 14:45:00,0,0.58185923
2021-11-04 15:00:00,0,0.59576297
2021-11-04 15:15:00,0,0.933556
2021-11-04 15:30:00,0,0.11603851
2021-11-04 15:45:00,1,0.02763223
2021-11-04 16:00:00,0,0.9345671
2021-11-04 16:15:00,1,0.72164536
2021-11-04 16:30:00,1,0.606513
2021-11-04 16:45:00,1,0.081913255
2021-11-04 17:00:00,1,0.097897336
2021-11-04 17:15:00,1,0.8453812
2021-11-04 17:30:00,0,0.5489758
2021-11-04 17:45:00,0,0.47110704
2021-11-04 18:00:00,0,0.13406107
2021-11-04 18:15:00,2,0.86506414
2021-11-04 18:30:00,1,0.35297137
2021-11-04 18:45:00,1,0.071752094
2021-11-04 19:00:00,0,0.4565261
2021-11-04 19:15:00,1,0.98572904
2021-11-04 19:30:00,0,0.1580932
2021-11-04 19:45:00,1,0.64198405
2021-11-04 20:00:00,1,0.034385096
2021-11-04 20:15:00,0,0.43698868
2021-11-04 20:30:00,1,0.9387403
2021-11-04 20:45:00,0,0.08454979
2021-11-04 21:00:00,2,0.15386039
2021-11-04 21:15:00,0,0.11238067
2021-11-04 21:30:00,2,0.48383865
2021-11-04 21:45:00,0,0.7953445
2021-11-04 22:00:00,0,0.84021175
2021-11-04 22:15:00,0,0.08346055
2021-11-04 22:30:00,0,0.042352486
2021-11-04 22:45:00,1,0.9927016
2021-11-04 23:00:00,1,0.78159
2021-11-04 23:15:00,0,0.21497715
2021-11-04 23:30:00,2,0.22212909
2021-11-04 23:45:00,1,0.067974575
2021-11-05 00:00:00,2,0.48919532
2021-11-05 00:15:00,1,0.8208963
2021-11-05 00:30:00,1,0.8742555
2021-11-05 00:45:00,0,0.83706236
2021-11-05 01:00:00,0,0.9261994
2021-11-05 01:15:00,1,0.62492627
2021-11-05 01:30:00,2,0.6315623
2021-11-05 01:45:00,1,0.7109154
2021-11-05 02:00:00,0,0.4544131
2021-11-05 02:15:00,0,0.40858045
2021-11-05 02:30:00,2,0.9673675
2021-11-05 02:45:00,1,0.49075913
2021-11-05 03:00:00,0,0.48787498
2021-11-05 03:15:00,2,0.96125895
2021-11-05 03:30:00,2,0.08294805
2021-11-05 03:45:00,1,0.16296759
2021-11-05 04:00:00,2,0.5611643
2021-11-05 04:15:00,1,0.7196894
2021-11-05 04:30:00,0,0.89889425
2021-11-05 04:45:00,0,0.83696777
2021-11-05 05:00:00,0,0.29357916
2021-11-05 05:15:00,2,0.9191448
2021-11-05 05:30:00,2,0.12973334
2021-11-05 05:45:00,1,0.014840373
2021-11-05 06:00:00,0,0.65634674
2021-11-05 06:15:00,0,0.92271227
2021-11-05 06:30:00,0,0.5156135
2021-11-05 06:45:00,1,0.81168795
2021-11-05 07:00:00,0,0.5067697
2021-11-05 07:15:00,2,0.880007
2021-11-05 07:30:00,1,0.55266476
2021-11-05 07:45:00,1,0.8713857
2021-11-05 08:00:00,0,0.25755838
2021-11-05 08:15:00,0,0.47976193
2021-11-05 08:30:00,1,0.46865684
2021-11-05 08:45:00,1,0.92689735
2021-11-05 09:00:00,0,0.56022257
2021-11-05 09:15:00,0,0.9032251
2021-11-05 09:30:00,2,0.2372964
2021-11-05 09:45:00,2,0.46648225
2021-11-05 10:00:00,1,0.56857455
2021-11-05 10:15:00,0,0.91904384
2021-11-05 10:30:00,1,0.16782604
2021-11-05 10:45:00,2,0.82215834
2021-11-05 11:00:00,0,0.11563502
2021-11-05 11:15:00,2,0.8799804
2021-11-05 11:30:00,1,0.07809132
2021-11-05 11:45:00,1,0.45678136
2021-11-05 12:00:00,1,0.58888036
2021-11-05 12:15:00,2,0.2887583
2021-11-05 12:30:00,2,0.35838324
2021-11-05 12:45:00,1,0.9192074
2021-11-05 13:00:00,1,0.8683026
2021-11-05 13:15:00,1,0.03845467
2021-11-05 13:30:00,1,0.82051104
2021-11-05 13:45:00,1,0.7454592
2021-11-05 14:00:00,2,0.47624862
2021-11-05 14:15:00,0,0.32459247
2021-11-05 14:30:00,1,0.03070784
2021-11-05 14:45:00,1,0.8138225
2021-11-05 15:00:00,1,0.45305917
2021-11-05 15:15:00,0,0.9919455
2021-11-05 15:30:00,2,0.01581678
2021-11-05 15:45:00,1,0.31598872
2021-11-05 16:00:00,2,0.34350106
2021-11-05 16:15:00,2,0.95596206
2021-11-05 16:30:00,1,0.06661275
2021-11-05 16:45:00,2,0.6306015
2021-11-05 17:00:00,0,0.9182854
2021-11-05 17:15:00,2,0.7758859
2021-11-05 17:30:00,0,0.1342073
2021-11-05 17:45:00,1,0.17730224
2021-11-05 18:00:00,0,0.14330819
2021-11-05 18:15:00,2,0.26813608
2021-11-05 18:30:00,2,0.4701751
2021-11-05 18:45:00,2,0.6539809
2021-11-05 19:00:00,2,0.78684074
2021-11-05 19:15:00,1,0.8540347
2021-11-05 19:30:00,1,0.8443542
2021-11-05 19:45:00,0,0.12887332
2021-11-05 20:00:00,1,0.69900227
2021-11-05 20:15:00,2,0.6595535
2021-11-05 20:30:00,1,0.020167533
2021-11-05 20:45:00,2,0.6968757
2021-11-05 21:00:00,2,0.90990657
2021-11-05 21:15:00,2,0.06446681
2021-11-05 21:30:00,2,0.6966588
2021-11-05 21:45:00,0,0.48186663
2021-11-05 22:00:00,1,0.56623095
2021-11-05 22:15:00,1,0.30987456
2021-11-05 22:30:00,0,0.100036494
2021-11-05 22:45:00,1,0.8186836
2021-11-05 23:00:00,2,0.2491142
2021-11-05 23:15:00,1,0.33933476
2021-11-05 23:30:00,2,0.9242124
2021-11-05 23:45:00,2,0.11999064
2021-11-06 00:00:00,0,0.44690382
2021-11-06 00:15:00,1,0.13436565
2021-11-06 00:30:00,0,0.7823976
2021-11-06 00:45:00,1,0.78983533
2021-11-06 01:00:00,2,0.044013802
2021-11-06 01:15:00,1,0.9208273
2021-11-06 01:30:00,1,0.5438784
2021-11-06 01:45:00,1,0.68953925
2021-11-06 02:00:00,0,0.8189098
2021-11-06 02:15:00,1,0.032977846
2021-11-06 02:30:00,0,0.7374159
2021-11-06 02:45:00,0,0.81451887
2021-11-06 03:00:00,0,0.6340289
2021-11-06 03:15:00,0,0.36992848
2021-11-06 03:30:00,1,0.21034586
2021-11-06 03:45:00,2,0.92387086
2021-11-06 04:00:00,2,0.9585435
2021-11-06 04:15:00,1,0.15301871
2021-11-06 04:30:00,0,0.921581
2021-11-06 04:45:00,2,0.4731357
2021-11-06 05:00:00,0,0.1902002
2021-11-06 05:15:00,0,0.79595613
2021-11-06 05:30:00,1,0.65217006
2021-11-06 05:45:00,1,0.13946956
2021-11-06 06:00:00,2,0.74954545
2021-11-06 06:15:00,1,0.26241848
2021-11-06 06:30:00,1,0.63522375
2021-11-06 06:45:00,2,0.2274481
2021-11-06 07:00:00,2,0.8866149
2021-11-06 07:15:00,1,0.12863217
2021-11-06 07:30:00,1,0.9755912
2021-11-06 07:45:00,2,0.9673788
2021-11-06 08:00:00,1,0.19882844
2021-11-06 08:15:00,0,0.40890148
2021-11-06 08:30:00,0,0.68487763
2021-11-06 08:45:00,2,0.57311714
2021-11-06 09:00:00,2,0.65281564
2021-11-06 09:15:00,2,0.5725086
2021-11-06 09:30:00,1,0.42665935
2021-11-06 09:45:00,0,0.9367635
2021-11-06 10:00:00,0,0.27760112
2021-11-06 10:15:00,0,0.32017875
2021-11-06 10:30:00,2,0.8556203
2021-11-06 10:45:00,1,0.8968214
2021-11-06 11:00:00,2,0.68413985
2021-11-06 11:15:00,1,0.7286407
2021-11-06 11:30:00,2,0.6889045
2021-11-06 11:45:00,2,0.26789656
2021-11-06 12:00:00,1,0.5465835
2021-11-06 12:15:00,0,0.7545379
2021-11-06 12:30:00,2,0.6903233
2021-11-06 12:45:00,1,0.36888525
2021-11-06 13:00:00,2,0.20443425
2021-11-06 13:15:00,2,0.083398014
2021-11-06 13:30:00,0,0.8400806
2021-11-06 13:45:00,0,0.95884746
2021-11-06 14:00:00,2,0.8990188
2021-11-06 14:15:00,2,0.91472006
2021-11-06 14:30:00,1,0.957832
2021-11-06 14:45:00,0,0.32015646
2021-11-06 15:00:00,2,0.6449381
2021-11-06 15:15:00,0,0.3976128
2021-11-06 15:30:00,1,0.57776934
2021-11-06 15:45:00,0,0.3666656
2021-11-06 16:00:00,1,0.33042663
2021-11-06 16:15:00,2,0.8780207
2021-11-06 16:30:00,1,0.7984215
2021-11-06 16:45:00,0,0.48797157
2021-11-06 17:00:00,0,0.27118087
2021-11-06 17:15:00,0,0.22275446
2021-11-06 17:30:00,0,0.94162834
2021-11-06 17:45:00,2,0.9118568
2021-11-06 18:00:00,0,0.899553
2021-11-06 18:15:00,1,0.79538375
2021-11-06 18:30:00,1,0.70652354
2021-11-06 18:45:00,1,0.56328213
2021-11-06 19:00:00,2,0.13301207
2021-11-06 19:15:00,0,0.8694179
2021-11-06 19:30:00,2,0.7783822
